PGV,N,DesignInitialPsi,InitialPsi,FinalPsi,DeltaPsi,Material,FacadeType,SoilProfile,EarthquakeType
8,4,1.5,1.4600000000000004,1.4699999999999995,0.00999999999999912,0.7,A,A,ZN
16,4,1.5,1.4600000000000004,1.6000000000000005,0.14000000000000012,0.7,A,A,ZN
32,4,1.5,1.4600000000000004,1.7399999999999993,0.2799999999999989,0.7,A,A,ZN
2,8,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZN
4,8,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZN
16,8,1.5,1.4600000000000004,1.5799999999999994,0.119999999999999,0.7,A,A,ZN
8,1,0.0,0.0,0.0,0.0,1.0,A,A,ZN
128,1,0.0,0.0,2.4699999999999998,2.4699999999999998,1.0,A,A,ZN
16,1,0.0,0.0,0.4600000000000001,0.4600000000000001,1.0,A,A,ZN
32,1,0.0,0.0,0.8633333333333334,0.8633333333333334,1.0,A,A,ZN
64,1,0.0,0.0,1.405,1.405,1.0,A,A,ZN
96,1,0.0,0.0,1.6700000000000004,1.6700000000000004,1.0,A,A,ZN
2,2,0.0,0.0,0.0,0.0,1.0,A,A,ZN
4,2,0.0,0.0,0.0,0.0,1.0,A,A,ZN
8,2,0.0,0.0,0.0,0.0,1.0,A,A,ZN
16,2,0.0,0.0,0.4600000000000001,0.4600000000000001,1.0,A,A,ZN
32,2,0.0,0.0,0.883,0.883,1.0,A,A,ZN
64,2,0.0,0.0,1.4105,1.4105,1.0,A,A,ZN
2,4,0.0,0.0,0.0,0.0,1.0,A,A,ZN
4,4,0.0,0.0,0.0,0.0,1.0,A,A,ZN
8,4,0.0,0.0,0.0,0.0,1.0,A,A,ZN
16,4,0.0,0.0,0.4600000000000001,0.4600000000000001,1.0,A,A,ZN
32,4,0.0,0.0,0.9019999999999999,0.9019999999999999,1.0,A,A,ZN
2,8,0.0,0.0,0.0,0.0,1.0,A,A,ZN
4,8,0.0,0.0,0.0,0.0,1.0,A,A,ZN
16,8,0.0,0.0,0.4600000000000001,0.4600000000000001,1.0,A,A,ZN
8,1,0.5,0.5100000000000001,0.6233333333333334,0.11333333333333329,1.0,A,A,ZN
128,1,0.5,0.5100000000000001,2.7312499999999993,2.221249999999999,1.0,A,A,ZN
16,1,0.5,0.5100000000000001,0.8900000000000002,0.3800000000000001,1.0,A,A,ZN
32,1,0.5,0.5100000000000001,1.3799999999999994,0.8699999999999993,1.0,A,A,ZN
64,1,0.5,0.5100000000000001,1.5417647058823527,1.0317647058823525,1.0,A,A,ZN
96,1,0.5,0.5100000000000001,1.6022222222222224,1.0922222222222224,1.0,A,A,ZN
2,2,0.5,0.5100000000000001,0.55,0.039999999999999925,1.0,A,A,ZN
4,2,0.5,0.5100000000000001,0.57,0.05999999999999983,1.0,A,A,ZN
8,2,0.5,0.5100000000000001,0.6333333333333333,0.12333333333333318,1.0,A,A,ZN
16,2,0.5,0.5100000000000001,0.92,0.4099999999999999,1.0,A,A,ZN
32,2,0.5,0.5100000000000001,1.3900000000000003,0.8800000000000002,1.0,A,A,ZN
64,2,0.5,0.5100000000000001,1.57,1.06,1.0,A,A,ZN
2,4,0.5,0.5100000000000001,0.55,0.039999999999999925,1.0,A,A,ZN
4,4,0.5,0.5100000000000001,0.58,0.06999999999999984,1.0,A,A,ZN
8,4,0.5,0.5100000000000001,0.6366666666666667,0.1266666666666666,1.0,A,A,ZN
16,4,0.5,0.5100000000000001,0.9600000000000004,0.4500000000000003,1.0,A,A,ZN
32,4,0.5,0.5100000000000001,1.41,0.8999999999999998,1.0,A,A,ZN
2,8,0.5,0.5100000000000001,0.5533333333333332,0.04333333333333311,1.0,A,A,ZN
4,8,0.5,0.5100000000000001,0.58,0.06999999999999984,1.0,A,A,ZN
16,8,0.5,0.5100000000000001,1.2600000000000002,0.7500000000000001,1.0,A,A,ZN
8,1,1.0,0.9299999999999999,1.2460000000000004,0.3160000000000005,1.0,A,A,ZN
128,1,1.0,0.9299999999999999,2.8864705882352943,1.9564705882352944,1.0,A,A,ZN
16,1,1.0,0.9299999999999999,1.2899999999999996,0.35999999999999965,1.0,A,A,ZN
32,1,1.0,0.9299999999999999,1.4019999999999997,0.47199999999999975,1.0,A,A,ZN
64,1,1.0,0.9299999999999999,1.6135294117647054,0.6835294117647055,1.0,A,A,ZN
96,1,1.0,0.9299999999999999,1.7318749999999998,0.8018749999999999,1.0,A,A,ZN
2,2,1.0,0.9299999999999999,1.1999999999999997,0.2699999999999998,1.0,A,A,ZN
4,2,1.0,0.9299999999999999,1.1999999999999997,0.2699999999999998,1.0,A,A,ZN
8,2,1.0,0.9299999999999999,1.2460000000000004,0.3160000000000005,1.0,A,A,ZN
16,2,1.0,0.9299999999999999,1.3000000000000003,0.37000000000000033,1.0,A,A,ZN
32,2,1.0,0.9299999999999999,1.4400000000000002,0.5100000000000002,1.0,A,A,ZN
64,2,1.0,0.9299999999999999,1.6400000000000003,0.7100000000000004,1.0,A,A,ZN
2,4,1.0,0.9299999999999999,1.1999999999999997,0.2699999999999998,1.0,A,A,ZN
4,4,1.0,0.9299999999999999,1.1999999999999997,0.2699999999999998,1.0,A,A,ZN
8,4,1.0,0.9299999999999999,1.2490000000000006,0.3190000000000006,1.0,A,A,ZN
16,4,1.0,0.9299999999999999,1.3000000000000003,0.37000000000000033,1.0,A,A,ZN
32,4,1.0,0.9299999999999999,1.4699999999999998,0.5399999999999998,1.0,A,A,ZN
2,8,1.0,0.9299999999999999,1.1999999999999997,0.2699999999999998,1.0,A,A,ZN
4,8,1.0,0.9299999999999999,1.1999999999999997,0.2699999999999998,1.0,A,A,ZN
16,8,1.0,0.9299999999999999,1.3000000000000003,0.37000000000000033,1.0,A,A,ZN
8,1,1.5,1.4499999999999995,1.5200000000000002,0.07000000000000073,1.0,A,A,ZN
128,1,1.5,1.4499999999999995,2.84,1.3900000000000003,1.0,A,A,ZN
16,1,1.5,1.4499999999999995,1.5799999999999994,0.1299999999999999,1.0,A,A,ZN
32,1,1.5,1.4499999999999995,1.5599999999999996,0.1100000000000001,1.0,A,A,ZN
64,1,1.5,1.4499999999999995,1.858125,0.4081250000000005,1.0,A,A,ZN
96,1,1.5,1.4499999999999995,1.8484210526315787,0.39842105263157923,1.0,A,A,ZN
2,2,1.5,1.4499999999999995,1.4499999999999995,0.0,1.0,A,A,ZN
4,2,1.5,1.4499999999999995,1.4499999999999995,0.0,1.0,A,A,ZN
8,2,1.5,1.4499999999999995,1.5575,0.1075000000000006,1.0,A,A,ZN
16,2,1.5,1.4499999999999995,1.5799999999999994,0.1299999999999999,1.0,A,A,ZN
32,2,1.5,1.4499999999999995,1.5599999999999996,0.1100000000000001,1.0,A,A,ZN
64,2,1.5,1.4499999999999995,1.9114999999999998,0.46150000000000024,1.0,A,A,ZN
2,4,1.5,1.4499999999999995,1.4499999999999995,0.0,1.0,A,A,ZN
4,4,1.5,1.4499999999999995,1.4499999999999995,0.0,1.0,A,A,ZN
8,4,1.5,1.4499999999999995,1.5575,0.1075000000000006,1.0,A,A,ZN
16,4,1.5,1.4499999999999995,1.5799999999999994,0.1299999999999999,1.0,A,A,ZN
32,4,1.5,1.4499999999999995,1.5799999999999994,0.1299999999999999,1.0,A,A,ZN
2,8,1.5,1.4499999999999995,1.4499999999999995,0.0,1.0,A,A,ZN
4,8,1.5,1.4499999999999995,1.4499999999999995,0.0,1.0,A,A,ZN
16,8,1.5,1.4499999999999995,1.5799999999999994,0.1299999999999999,1.0,A,A,ZN
8,1,0.0,0.0,0.0,0.0,1.3,A,A,ZN
128,1,0.0,0.0,1.652,1.652,1.3,A,A,ZN
16,1,0.0,0.0,0.0,0.0,1.3,A,A,ZN
32,1,0.0,0.0,0.7014285714285713,0.7014285714285713,1.3,A,A,ZN
64,1,0.0,0.0,1.2215000000000003,1.2215000000000003,1.3,A,A,ZN
96,1,0.0,0.0,1.5160000000000002,1.5160000000000002,1.3,A,A,ZN
2,2,0.0,0.0,0.0,0.0,1.3,A,A,ZN
4,2,0.0,0.0,0.0,0.0,1.3,A,A,ZN
8,2,0.0,0.0,0.0,0.0,1.3,A,A,ZN
16,2,0.0,0.0,0.0,0.0,1.3,A,A,ZN
32,2,0.0,0.0,0.7020000000000001,0.7020000000000001,1.3,A,A,ZN
64,2,0.0,0.0,1.3405,1.3405,1.3,A,A,ZN
2,4,0.0,0.0,0.0,0.0,1.3,A,A,ZN
4,4,0.0,0.0,0.0,0.0,1.3,A,A,ZN
8,4,0.0,0.0,0.0,0.0,1.3,A,A,ZN
16,4,0.0,0.0,0.0,0.0,1.3,A,A,ZN
32,4,0.0,0.0,0.7066666666666666,0.7066666666666666,1.3,A,A,ZN
2,8,0.0,0.0,0.0,0.0,1.3,A,A,ZN
4,8,0.0,0.0,0.0,0.0,1.3,A,A,ZN
16,8,0.0,0.0,0.0,0.0,1.3,A,A,ZN
8,1,0.5,0.5333333333333335,0.7400000000000001,0.20666666666666655,1.3,A,A,ZN
128,1,0.5,0.5333333333333335,1.6764999999999997,1.1431666666666662,1.3,A,A,ZN
16,1,0.5,0.5333333333333335,0.9499999999999997,0.4166666666666662,1.3,A,A,ZN
32,1,0.5,0.5333333333333335,1.1809999999999998,0.6476666666666663,1.3,A,A,ZN
64,1,0.5,0.5333333333333335,1.5805,1.0471666666666666,1.3,A,A,ZN
96,1,0.5,0.5333333333333335,1.5341176470588231,1.0007843137254895,1.3,A,A,ZN
2,2,0.5,0.5333333333333335,0.55,0.016666666666666496,1.3,A,A,ZN
4,2,0.5,0.5333333333333335,0.5666666666666667,0.033333333333333104,1.3,A,A,ZN
8,2,0.5,0.5333333333333335,0.7599999999999999,0.22666666666666635,1.3,A,A,ZN
16,2,0.5,0.5333333333333335,0.9800000000000003,0.44666666666666677,1.3,A,A,ZN
32,2,0.5,0.5333333333333335,1.25,0.7166666666666665,1.3,A,A,ZN
64,2,0.5,0.5333333333333335,1.5435000000000003,1.0101666666666667,1.3,A,A,ZN
2,4,0.5,0.5333333333333335,0.55,0.016666666666666496,1.3,A,A,ZN
4,4,0.5,0.5333333333333335,0.5733333333333335,0.039999999999999925,1.3,A,A,ZN
8,4,0.5,0.5333333333333335,0.7599999999999999,0.22666666666666635,1.3,A,A,ZN
16,4,0.5,0.5333333333333335,1.0074999999999998,0.4741666666666663,1.3,A,A,ZN
32,4,0.5,0.5333333333333335,1.31,0.7766666666666665,1.3,A,A,ZN
2,8,0.5,0.5333333333333335,0.55,0.016666666666666496,1.3,A,A,ZN
4,8,0.5,0.5333333333333335,0.5733333333333335,0.039999999999999925,1.3,A,A,ZN
16,8,0.5,0.5333333333333335,1.0175000000000003,0.48416666666666675,1.3,A,A,ZN
8,1,1.0,0.9624999999999998,1.0299999999999998,0.0675,1.3,A,A,ZN
128,1,1.0,0.9624999999999998,1.7199999999999998,0.7575,1.3,A,A,ZN
16,1,1.0,0.9624999999999998,1.1949999999999998,0.23250000000000004,1.3,A,A,ZN
32,1,1.0,0.9624999999999998,1.3500000000000003,0.3875000000000005,1.3,A,A,ZN
64,1,1.0,0.9624999999999998,1.684705882352941,0.7222058823529413,1.3,A,A,ZN
96,1,1.0,0.9624999999999998,1.5825,0.6200000000000002,1.3,A,A,ZN
2,2,1.0,0.9624999999999998,0.9530000000000001,-0.009499999999999731,1.3,A,A,ZN
4,2,1.0,0.9624999999999998,1.01375,0.05125000000000013,1.3,A,A,ZN
8,2,1.0,0.9624999999999998,1.0399999999999996,0.07749999999999979,1.3,A,A,ZN
16,2,1.0,0.9624999999999998,1.2300000000000002,0.2675000000000004,1.3,A,A,ZN
32,2,1.0,0.9624999999999998,1.4200000000000004,0.4575000000000006,1.3,A,A,ZN
64,2,1.0,0.9624999999999998,1.6200000000000008,0.657500000000001,1.3,A,A,ZN
2,4,1.0,0.9624999999999998,0.9589999999999999,-0.0034999999999999476,1.3,A,A,ZN
4,4,1.0,0.9624999999999998,1.01375,0.05125000000000013,1.3,A,A,ZN
8,4,1.0,0.9624999999999998,1.0500000000000003,0.08750000000000047,1.3,A,A,ZN
16,4,1.0,0.9624999999999998,1.25,0.2875000000000002,1.3,A,A,ZN
32,4,1.0,0.9624999999999998,1.4800000000000002,0.5175000000000004,1.3,A,A,ZN
2,8,1.0,0.9624999999999998,0.9599999999999997,-0.0025000000000000577,1.3,A,A,ZN
4,8,1.0,0.9624999999999998,1.008,0.04550000000000021,1.3,A,A,ZN
16,8,1.0,0.9624999999999998,1.2699999999999998,0.3075,1.3,A,A,ZN
8,1,1.5,1.4650000000000003,1.5100000000000007,0.04500000000000037,1.3,A,A,ZN
128,1,1.5,1.4650000000000003,1.8399999999999994,0.3749999999999991,1.3,A,A,ZN
16,1,1.5,1.4650000000000003,1.5100000000000005,0.04500000000000015,1.3,A,A,ZN
32,1,1.5,1.4650000000000003,1.6099999999999997,0.14499999999999935,1.3,A,A,ZN
64,1,1.5,1.4650000000000003,1.761,0.2959999999999996,1.3,A,A,ZN
96,1,1.5,1.4650000000000003,1.7724999999999997,0.30749999999999944,1.3,A,A,ZN
2,2,1.5,1.4650000000000003,1.4875,0.022499999999999742,1.3,A,A,ZN
4,2,1.5,1.4650000000000003,1.4909999999999994,0.025999999999999135,1.3,A,A,ZN
8,2,1.5,1.4650000000000003,1.5,0.0349999999999997,1.3,A,A,ZN
16,2,1.5,1.4650000000000003,1.5,0.0349999999999997,1.3,A,A,ZN
32,2,1.5,1.4650000000000003,1.6800000000000002,0.21499999999999986,1.3,A,A,ZN
64,2,1.5,1.4650000000000003,1.7100000000000006,0.24500000000000033,1.3,A,A,ZN
2,4,1.5,1.4650000000000003,1.4875,0.022499999999999742,1.3,A,A,ZN
4,4,1.5,1.4650000000000003,1.5399999999999996,0.07499999999999929,1.3,A,A,ZN
8,4,1.5,1.4650000000000003,1.5,0.0349999999999997,1.3,A,A,ZN
16,4,1.5,1.4650000000000003,1.5,0.0349999999999997,1.3,A,A,ZN
32,4,1.5,1.4650000000000003,1.7418749999999996,0.2768749999999993,1.3,A,A,ZN
2,8,1.5,1.4650000000000003,1.4875,0.022499999999999742,1.3,A,A,ZN
4,8,1.5,1.4650000000000003,1.5399999999999996,0.07499999999999929,1.3,A,A,ZN
16,8,1.5,1.4650000000000003,1.5,0.0349999999999997,1.3,A,A,ZN
8,1,0.0,0.0,0.8699999999999997,0.8699999999999997,0.7,A,A,ZF
128,1,0.0,0.0,2.4465,2.4465,0.7,A,A,ZF
16,1,0.0,0.0,1.2825000000000002,1.2825000000000002,0.7,A,A,ZF
32,1,0.0,0.0,1.7094117647058824,1.7094117647058824,0.7,A,A,ZF
64,1,0.0,0.0,1.7868749999999998,1.7868749999999998,0.7,A,A,ZF
96,1,0.0,0.0,2.2312499999999997,2.2312499999999997,0.7,A,A,ZF
2,2,0.0,0.0,0.32,0.32,0.7,A,A,ZF
4,2,0.0,0.0,0.3933333333333333,0.3933333333333333,0.7,A,A,ZF
8,2,0.0,0.0,0.91,0.91,0.7,A,A,ZF
16,2,0.0,0.0,1.3184999999999998,1.3184999999999998,0.7,A,A,ZF
32,2,0.0,0.0,2.014500000000001,2.014500000000001,0.7,A,A,ZF
64,2,0.0,0.0,2.563684210526316,2.563684210526316,0.7,A,A,ZF
2,4,0.0,0.0,0.32,0.32,0.7,A,A,ZF
4,4,0.0,0.0,0.3933333333333333,0.3933333333333333,0.7,A,A,ZF
8,4,0.0,0.0,0.9399999999999996,0.9399999999999996,0.7,A,A,ZF
16,4,0.0,0.0,1.3379999999999996,1.3379999999999996,0.7,A,A,ZF
32,4,0.0,0.0,2.0624999999999996,2.0624999999999996,0.7,A,A,ZF
2,8,0.0,0.0,0.32,0.32,0.7,A,A,ZF
4,8,0.0,0.0,0.3933333333333333,0.3933333333333333,0.7,A,A,ZF
16,8,0.0,0.0,1.4235000000000002,1.4235000000000002,0.7,A,A,ZF
8,1,0.5,0.4699999999999998,1.1400000000000001,0.6700000000000004,0.7,A,A,ZF
128,1,0.5,0.4699999999999998,2.4989999999999997,2.029,0.7,A,A,ZF
16,1,0.5,0.4699999999999998,1.3699999999999999,0.9000000000000001,0.7,A,A,ZF
32,1,0.5,0.4699999999999998,1.6669999999999998,1.197,0.7,A,A,ZF
64,1,0.5,0.4699999999999998,2.5005555555555556,2.030555555555556,0.7,A,A,ZF
96,1,0.5,0.4699999999999998,2.394375,1.9243750000000004,0.7,A,A,ZF
2,2,0.5,0.4699999999999998,0.5700000000000001,0.10000000000000026,0.7,A,A,ZF
4,2,0.5,0.4699999999999998,0.664,0.19400000000000023,0.7,A,A,ZF
8,2,0.5,0.4699999999999998,1.1400000000000001,0.6700000000000004,0.7,A,A,ZF
16,2,0.5,0.4699999999999998,1.3670000000000002,0.8970000000000005,0.7,A,A,ZF
32,2,0.5,0.4699999999999998,1.9294999999999998,1.4595,0.7,A,A,ZF
64,2,0.5,0.4699999999999998,2.8205263157894738,2.350526315789474,0.7,A,A,ZF
2,4,0.5,0.4699999999999998,0.5700000000000001,0.10000000000000026,0.7,A,A,ZF
4,4,0.5,0.4699999999999998,0.6839999999999999,0.21400000000000013,0.7,A,A,ZF
8,4,0.5,0.4699999999999998,1.1400000000000001,0.6700000000000004,0.7,A,A,ZF
16,4,0.5,0.4699999999999998,1.3795000000000002,0.9095000000000004,0.7,A,A,ZF
32,4,0.5,0.4699999999999998,2.019999999999999,1.5499999999999994,0.7,A,A,ZF
2,8,0.5,0.4699999999999998,0.58,0.11000000000000015,0.7,A,A,ZF
4,8,0.5,0.4699999999999998,0.6980000000000001,0.22800000000000026,0.7,A,A,ZF
16,8,0.5,0.4699999999999998,1.3666666666666663,0.8966666666666665,0.7,A,A,ZF
8,1,1.0,1.1,1.19,0.08999999999999986,0.7,A,A,ZF
128,1,1.0,1.1,2.5294117647058822,1.4294117647058822,0.7,A,A,ZF
16,1,1.0,1.1,1.39125,0.29125,0.7,A,A,ZF
32,1,1.0,1.1,1.6669999999999998,0.5669999999999997,0.7,A,A,ZF
64,1,1.0,1.1,2.3999999999999995,1.2999999999999994,0.7,A,A,ZF
96,1,1.0,1.1,2.3725,1.2725,0.7,A,A,ZF
2,2,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZF
4,2,1.0,1.1,1.1200000000000006,0.020000000000000462,0.7,A,A,ZF
8,2,1.0,1.1,1.18,0.07999999999999985,0.7,A,A,ZF
16,2,1.0,1.1,1.3809999999999998,0.2809999999999997,0.7,A,A,ZF
32,2,1.0,1.1,1.9395,0.8394999999999999,0.7,A,A,ZF
64,2,1.0,1.1,2.6742105263157896,1.5742105263157895,0.7,A,A,ZF
2,4,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZF
4,4,1.0,1.1,1.1200000000000006,0.020000000000000462,0.7,A,A,ZF
8,4,1.0,1.1,1.18,0.07999999999999985,0.7,A,A,ZF
16,4,1.0,1.1,1.388333333333333,0.2883333333333329,0.7,A,A,ZF
32,4,1.0,1.1,2.0365000000000006,0.9365000000000006,0.7,A,A,ZF
2,8,1.0,1.1,1.1099999999999999,0.009999999999999787,0.7,A,A,ZF
4,8,1.0,1.1,1.1200000000000006,0.020000000000000462,0.7,A,A,ZF
16,8,1.0,1.1,1.376666666666667,0.27666666666666684,0.7,A,A,ZF
8,1,1.5,1.4600000000000004,1.5799999999999994,0.119999999999999,0.7,A,A,ZF
128,1,1.5,1.4600000000000004,2.8023529411764705,1.34235294117647,0.7,A,A,ZF
16,1,1.5,1.4600000000000004,1.6979999999999997,0.23799999999999932,0.7,A,A,ZF
32,1,1.5,1.4600000000000004,1.7300000000000002,0.2699999999999998,0.7,A,A,ZF
64,1,1.5,1.4600000000000004,2.48,1.0199999999999996,0.7,A,A,ZF
96,1,1.5,1.4600000000000004,2.5370000000000004,1.077,0.7,A,A,ZF
2,2,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZF
4,2,1.5,1.4600000000000004,1.4699999999999995,0.00999999999999912,0.7,A,A,ZF
8,2,1.5,1.4600000000000004,1.57,0.10999999999999965,0.7,A,A,ZF
16,2,1.5,1.4600000000000004,1.701,0.24099999999999966,0.7,A,A,ZF
32,2,1.5,1.4600000000000004,1.7800000000000005,0.32000000000000006,0.7,A,A,ZF
64,2,1.5,1.4600000000000004,2.718,1.2579999999999996,0.7,A,A,ZF
2,4,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZF
4,4,1.5,1.4600000000000004,1.4699999999999995,0.00999999999999912,0.7,A,A,ZF
8,4,1.5,1.4600000000000004,1.5799999999999994,0.119999999999999,0.7,A,A,ZF
16,4,1.5,1.4600000000000004,1.6900000000000004,0.22999999999999998,0.7,A,A,ZF
32,4,1.5,1.4600000000000004,1.8799999999999992,0.4199999999999988,0.7,A,A,ZF
2,8,1.5,1.4600000000000004,1.4600000000000004,0.0,0.7,A,A,ZF
4,8,1.5,1.4600000000000004,1.4699999999999995,0.00999999999999912,0.7,A,A,ZF
16,8,1.5,1.4600000000000004,1.6900000000000004,0.22999999999999998,0.7,A,A,ZF
8,1,0.0,0.0,0.63,0.63,1.0,A,A,ZF
128,1,0.0,0.0,2.2056250000000004,2.2056250000000004,1.0,A,A,ZF
16,1,0.0,0.0,1.0387499999999996,1.0387499999999996,1.0,A,A,ZF
32,1,0.0,0.0,1.5099999999999998,1.5099999999999998,1.0,A,A,ZF
64,1,0.0,0.0,1.84625,1.84625,1.0,A,A,ZF
